lum,atm,int,sex,age,time
1,1.0,1,1,18,17
1,1.0,1,2,18,17
1,1.0,1,2,56,17
1,1.0,1,1,22,17
5,8.0,1,1,39,18
5,8.0,1,2,28,18
5,8.0,1,2,6,18
5,8.0,1,1,9,18
5,8.0,1,2,11,18
5,8.0,1,2,75,18
2,5.0,1,2,44,7
2,5.0,1,2,11,7
2,5.0,1,2,11,7
1,5.0,1,1,68,13
1,1.0,2,2,24,8
1,1.0,2,1,83,8
3,2.0,1,1,19,20
1,1.0,1,1,62,15
5,9.0,1,1,22,3
5,9.0,1,1,21,3
5,9.0,1,2,16,3
5,9.0,1,1,19,3
5,9.0,1,1,20,3
1,1.0,1,1,20,21
1,2.0,1,1,51,15
1,2.0,1,2,40,15
1,2.0,1,1,44,15
1,2.0,1,1,7,15
5,5.0,1,1,54,6
5,5.0,1,2,26,6
1,1.0,1,1,58,15
2,1.0,1,1,50,7
2,1.0,1,1,46,7
2,1.0,1,1,18,7
5,1.0,1,1,30,0
1,1.0,1,1,23,12
1,1.0,1,1,57,12
1,9.0,1,2,24,10
3,5.0,1,2,23,20
3,5.0,1,1,48,20
1,1.0,1,1,22,18
1,1.0,1,2,21,18
1,1.0,1,1,27,18
1,1.0,1,1,21,18
1,1.0,1,1,27,16
5,2.0,1,1,22,6
5,2.0,1,2,24,6
5,2.0,1,1,22,6
3,1.0,1,1,24,21
3,1.0,1,1,49,21
1,1.0,1,1,63,10
1,1.0,1,1,71,10
1,1.0,1,2,69,10
1,1.0,1,1,41,10
1,1.0,1,1,57,10
1,3.0,1,1,52,15
5,1.0,1,1,34,23
5,1.0,1,2,31,23
5,1.0,1,1,1,23
5,1.0,1,1,19,23
5,1.0,1,1,7,23
5,1.0,1,1,26,21
5,1.0,1,1,54,21
1,1.0,1,2,39,17
1,1.0,1,1,6,17
3,1.0,1,1,49,2
1,1.0,2,1,20,15
1,1.0,2,1,74,15
1,3.0,1,1,24,13
1,3.0,1,2,55,13
1,1.0,1,1,56,11
1,1.0,1,2,25,17
1,1.0,1,1,46,17
1,1.0,1,1,25,21
1,1.0,1,1,36,21
5,1.0,1,1,34,6
1,1.0,1,1,29,13
1,1.0,1,1,46,13
1,1.0,1,1,33,17
1,1.0,1,1,14,17
1,1.0,1,1,16,17
3,1.0,1,1,20,22
3,1.0,1,1,32,22
1,1.0,1,1,46,14
1,1.0,1,2,34,14
1,1.0,1,2,40,13
1,1.0,1,1,43,13
3,1.0,1,2,34,3
1,1.0,1,1,57,18
1,1.0,1,2,15,18
1,1.0,1,1,18,9
1,1.0,1,1,5,9
3,1.0,1,1,32,22
2,1.0,1,1,52,6
1,1.0,1,1,28,14
2,1.0,1,1,20,20
2,1.0,1,1,55,20
5,2.0,1,1,36,21
5,2.0,1,1,19,21
3,1.0,6,1,45,5
1,1.0,6,2,44,10
1,1.0,6,1,46,10
3,1.0,1,1,48,7
3,1.0,1,2,58,7
1,1.0,1,1,42,21
1,1.0,1,1,46,21
1,7.0,1,1,47,15
1,7.0,1,2,84,15
1,1.0,1,1,47,13
1,1.0,1,1,22,13
1,1.0,1,1,41,13
1,1.0,1,1,90,10
1,1.0,1,1,26,10
2,1.0,1,1,34,8
2,1.0,1,2,14,8
1,1.0,1,1,46,14
1,1.0,1,1,39,14
1,7.0,1,1,28,9
1,7.0,1,1,37,9
1,1.0,1,1,26,16
1,1.0,1,2,73,16
1,1.0,1,2,62,16
1,8.0,1,1,17,16
1,8.0,1,2,23,16
2,2.0,1,2,29,8
2,2.0,1,2,15,8
1,1.0,1,1,27,11
1,1.0,1,1,23,11
1,1.0,1,1,41,17
1,1.0,1,1,45,17
2,1.0,1,1,49,6
2,1.0,1,1,31,6
3,1.0,1,1,61,19
3,1.0,1,1,33,19
3,1.0,1,1,48,19
3,1.0,1,1,19,22
2,1.0,1,1,45,20
5,1.0,1,1,26,1
1,1.0,1,1,86,14
3,1.0,1,1,39,4
3,9.0,1,1,20,2
3,9.0,1,2,19,17
3,9.0,1,1,19,17
3,9.0,1,1,20,17
1,4.0,1,1,45,17
1,4.0,1,1,33,17
1,4.0,1,1,22,17
1,8.0,1,1,48,8
1,8.0,1,1,78,8
2,1.0,1,1,42,17
2,1.0,1,2,33,17
1,5.0,1,1,19,17
1,5.0,1,1,39,17
3,2.0,1,1,25,2
3,2.0,1,1,26,2
1,1.0,1,1,17,16
3,8.0,1,1,31,17
3,8.0,1,1,54,17
3,8.0,1,1,60,17
3,8.0,1,2,61,17
1,1.0,1,1,78,14
1,1.0,1,1,40,14
1,1.0,1,1,80,13
1,7.0,1,2,22,17
1,7.0,1,2,57,17
2,5.0,1,2,47,7
2,5.0,1,2,14,7
2,5.0,1,2,14,7
2,5.0,1,1,13,7
2,5.0,1,2,13,7
2,5.0,1,1,12,7
2,5.0,1,2,11,7
2,5.0,1,2,13,7
2,5.0,1,2,13,7
2,5.0,1,1,13,7
2,5.0,1,1,12,7
2,5.0,1,2,12,7
2,5.0,1,2,11,7
2,5.0,1,1,36,7
3,6.0,1,1,38,19
3,6.0,1,1,28,19
3,6.0,1,1,50,19
3,2.0,1,1,43,20
1,1.0,1,1,56,14
1,1.0,1,2,29,14
1,1.0,1,1,47,14
1,1.0,1,2,2,14
1,1.0,1,1,5,14
3,1.0,1,1,61,23
3,1.0,1,2,60,23
3,1.0,1,1,30,23
3,1.0,1,1,29,23
1,1.0,9,1,45,18
1,1.0,9,1,72,18
1,1.0,9,1,37,18
1,1.0,9,2,36,18
1,1.0,9,2,6,18
1,1.0,9,1,3,18
1,1.0,9,1,27,18
1,1.0,1,1,55,11
1,1.0,1,1,46,17
1,1.0,1,2,14,17
1,1.0,1,1,27,17
3,1.0,1,1,22,22
3,1.0,1,1,58,22
3,1.0,1,2,59,22
1,1.0,1,1,24,7
1,1.0,1,1,22,7
1,1.0,1,1,27,7
1,3.0,1,1,42,12
1,3.0,1,2,24,12
1,1.0,1,1,46,7
1,1.0,1,2,27,7
1,1.0,1,2,31,7
1,1.0,1,1,31,7
3,1.0,1,2,43,18
3,1.0,1,1,55,18
1,1.0,3,2,7,18
1,1.0,3,1,56,18
1,1.0,3,1,56,18
1,1.0,2,1,30,19
1,1.0,2,2,26,19
1,1.0,1,1,18,8
1,1.0,1,2,46,8
1,1.0,1,1,61,9
1,3.0,1,1,76,17
1,1.0,1,2,24,11
2,1.0,1,1,36,21
5,1.0,1,1,39,18
5,1.0,1,2,22,18
2,1.0,2,2,78,17
2,1.0,2,1,23,17
1,1.0,1,2,49,14
1,1.0,1,2,63,14
1,1.0,1,2,23,14
1,1.0,1,1,29,14
1,7.0,1,2,23,11
1,7.0,1,2,25,11
1,7.0,1,1,23,11
1,7.0,1,1,31,11
3,2.0,1,1,23,2
1,7.0,1,1,31,17
1,1.0,1,1,33,12
1,2.0,1,1,27,6
1,2.0,1,1,18,6
1,1.0,1,1,54,15
1,1.0,1,1,31,15
1,2.0,1,2,36,7
1,2.0,1,1,16,7
3,2.0,1,1,38,18
3,2.0,1,1,20,18
3,1.0,1,1,24,21
3,1.0,1,1,35,21
3,1.0,1,1,64,21
1,8.0,1,1,17,15
1,1.0,6,1,60,19
3,1.0,1,1,20,9
3,1.0,1,2,15,9
3,1.0,1,1,42,9
3,9.0,1,1,67,18
3,9.0,1,1,61,18
3,9.0,1,2,62,18
1,1.0,1,2,94,9
1,1.0,1,1,76,9
1,1.0,1,1,37,10
1,1.0,1,1,34,10
1,1.0,1,1,23,10
1,1.0,6,2,27,17
1,1.0,6,1,15,17
3,8.0,1,1,32,4
3,8.0,1,1,34,4
2,1.0,1,1,38,7
2,1.0,1,2,28,7
1,1.0,1,1,41,8
2,1.0,1,1,28,5
2,1.0,1,1,38,5
1,1.0,1,1,17,19
1,1.0,1,1,20,19
1,1.0,1,1,30,6
1,1.0,1,2,26,6
1,2.0,1,1,66,12
1,2.0,1,2,60,12
1,2.0,1,1,32,12
1,8.0,1,1,21,17
1,8.0,1,2,19,17
1,1.0,1,1,24,18
